S;IB;FB;PBC
Baccharis conferta;58;5;91.37931034
Pinus patula;95;23;75.78947368
Baccharis conferta;56;6;89.28571429
Pinus patula;113;29;74.33628319
Baccharis conferta;45;2;95.55555556
Pinus patula;136;33;75.73529412
Baccharis conferta;62;5;91.93548387
Pinus patula;124;32;74.19354839
Baccharis conferta;58;2;96.55172414
Pinus patula;129;33;74.41860465
Baccharis conferta;52;4;92.30769231
Pinus patula;112;21;81.25
Baccharis conferta;62;4;93.5483871
Pinus patula;134;32;76.11940299
Baccharis conferta;59;7;88.13559322
Pinus patula;117;24;79.48717949
Baccharis conferta;88;9;89.77272727
Pinus patula;121;27;77.68595041
Baccharis conferta;55;4;92.72727273
Pinus patula;137;34;75.18248175
Baccharis conferta;87;9;89.65517241
Pinus patula;125;29;76.8
Baccharis conferta;74;7;90.54054054
Pinus patula;139;27;80.57553957
Baccharis conferta;97;5;94.84536082
Pinus patula;111;26;76.57657658
Baccharis conferta;75;6;92
Pinus patula;111;23;79.27927928
Baccharis conferta;72;7;90.27777778
Pinus patula;129;29;77.51937984
